imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0258470,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.,24 Aug 2001,Blair Hayes,"Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton",31%
0256524,An insurance investigator and an efficency expert who hate each other are both hypnotized by a crooked hypnotist with a jade scorpion into stealing jewels.,24 Aug 2001,Woody Allen,"Greg Stebner, Woody Allen, John Tormey",45%
0261392,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",24 Aug 2001,Kevin Smith,"Jason Mewes, Kevin Smith, Ben Affleck",52%
0228333,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",24 Aug 2001,John Carpenter,"Natasha Henstridge, Ice Cube, Pam Grier",23%
0234829,A rich girl whose family summers on Cape Cod has a romance with a local poor boy who hopes to become a major league baseball player.,24 Aug 2001,Michael Tollin,"Freddie Prinze Jr., Jessica Biel, Fred Ward",8%
0208196,"New Yorker Ruby Weaver believes she has found the man of her dreams in Sam Deed, who is her best catch in some time--except that he assures her that he came from the future.",12 Sep 2001,Brad Anderson,"Marisa Tomei, Vincent D'Onofrio, Holland Taylor",70%
0206926,A comedy about a couple (Hugh Laurie and Joely Richardson) who are trying to conceive a child.,24 Aug 2001,"Ben Elton, Hugh Laurie","Hugh Laurie, Joely Richardson, Matthew Macfadyen",50%
0203166,"In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",21 Sep 2001,Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson",90%
0255653,"A Mexican-American master chef and father to three daughters has lost his taste for food, but not for life.",31 Aug 2001,Maria Ripoll,"Hector Elizondo, Jacqueline Obradors, Tamara Mello",74%
0263488,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,31 Aug 2001,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck",46%
0184791,"An update of Shakespeare's 'Othello' with a young cast, set in an upper class prep school, &amp; centered around basketball player Odin.",31 Aug 2001,Tim Blake Nelson,"Mekhi Phifer, Julia Stiles, Martin Sheen",64%
0103596,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",07 Aug 1992,Jon Turteltaub,"Victor Wong, Michael Treanor, Max Elliott Slade",32%
0109015,Young martial artists face their grandfather's foes when they accompany him to Japan to deliver a priceless dagger.,06 May 1994,Charles T. Kanganis,"Victor Wong, Max Elliott Slade, Sean Fox",15%
0112255,"Rocky, Colt and Tum Tum are back in an all new adventure everyone will fall for.",07 Apr 1995,Shin Sang-ok,"Victor Wong, Charles Napier, Michael Treanor",N/A
0070917,"A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl, who the Pagan locals claim never existed.",07 Aug 1974,Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento",90%
0246544,"Alexander Dumas' novel is updated with an eastern influence as D'Artagnan attempts to join the king's elite guards, the Royal Musketeers, and find the man who killed his parents.",07 Sep 2001,Peter Hyams,"Justin Chambers, Catherine Deneuve, Mena Suvari",11%
0202470,Lead singer of a tribute band becomes lead singer of the real band he idolizes.,07 Sep 2001,Stephen Herek,"Mark Wahlberg, Jennifer Aniston, Dominic West",N/A
0269341,"An arrogant career woman plays a series of heartless mind-games with her boyfriend to ""put him in line,"" only to discover that he has a few tricks up his own sleeve.",07 Sep 2001,Mark Brown,"Vivica A. Fox, Morris Chestnut, Anthony Anderson",40%
